t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor
216572.0265,0,1512.00,775.12,1512.00,775.12,,0,16.73,81.15,1,knuckle
216572.0598,0,1512.00,775.12,1512.00,775.12,,0,19.98,84.30,1,knuckle
216572.0932,0,1512.00,775.12,1512.00,775.12,,0,23.48,86.57,1,knuckle
216572.1265,0,1512.00,775.12,1512.00,775.12,,0,15.39,79.62,1,knuckle
216572.1599,0,1512.00,775.12,1512.00,775.12,,0,20.53,82.68,1,knuckle
216572.1932,0,1512.00,775.12,1512.00,775.12,,0,21.28,84.63,1,knuckle
216572.2266,0,1512.00,775.12,1512.00,775.12,,0,22.82,81.51,1,knuckle
216572.2599,0,1512.00,775.12,1512.00,775.12,,0,30.47,88.31,1,knuckle
216572.2933,0,1512.00,775.12,1512.00,775.12,,0,22.48,79.25,1,knuckle
216572.3266,0,1512.00,775.12,1512.00,775.12,,0,32.36,88.31,1,knuckle
216572.3600,0,1512.00,775.12,1512.00,775.12,,0,29.38,84.68,1,knuckle
216572.3933,0,1512.00,775.12,1512.00,775.12,,0,32.49,86.71,1,knuckle
216572.4267,0,1512.00,775.12,1512.00,775.12,,0,25.81,79.42,1,knuckle
216572.4600,0,1512.00,775.12,1512.00,775.12,,0,40.72,94.28,1,knuckle
216572.4934,0,1512.00,775.12,1512.00,775.12,,0,19.42,80.60,1,knuckle
216572.5267,0,1512.00,775.12,1512.00,775.12,,0,26.80,88.96,1,knuckle
216572.5601,0,1512.00,775.12,1512.00,775.12,,0,27.74,84.72,1,knuckle
216572.5934,0,1512.00,775.12,1512.00,775.12,,0,22.07,79.57,1,knuckle
216572.6268,0,1512.00,775.12,1512.00,775.12,,0,34.49,90.38,1,knuckle
216572.6601,0,1512.00,775.12,1512.00,775.12,,0,20.23,77.37,1,knuckle
216572.6935,0,1512.00,775.12,1512.00,775.12,,0,33.06,96.48,1,knuckle
216572.7268,0,1512.00,775.12,1512.00,775.12,,0,19.11,82.46,1,knuckle
216572.7602,0,1512.00,775.12,1512.00,775.12,,0,24.84,86.13,1,knuckle
216572.7935,0,1512.00,775.12,1512.00,775.12,,0,22.04,80.90,1,knuckle
216572.8269,0,1512.00,775.12,1512.00,775.12,,0,23.76,84.61,1,knuckle
216572.8602,0,1512.00,775.12,1512.00,775.12,,0,27.51,83.25,1,knuckle
216572.8936,0,1512.00,775.12,1512.00,775.12,,0,32.83,88.65,1,knuckle
216572.9269,0,1512.00,775.12,1512.00,775.12,,0,26.56,82.00,1,knuckle
216572.9603,0,1512.00,775.12,1512.00,775.12,,0,38.06,89.81,1,knuckle
216572.9936,0,1512.00,775.12,1512.00,775.12,,0,25.18,81.89,1,knuckle
216573.0270,0,1512.00,775.12,1512.00,775.12,,0,33.37,85.40,1,knuckle
216573.0603,0,1512.00,775.12,1512.00,775.12,,0,27.47,83.56,1,knuckle
216573.0937,0,1512.00,775.12,1512.00,775.12,,0,23.15,79.42,1,knuckle
216573.1270,0,1512.00,775.12,1512.00,775.12,,0,22.78,77.44,1,knuckle
216573.1604,0,1512.00,775.12,1512.00,775.12,,0,26.69,81.53,1,knuckle
216573.1937,0,1512.00,775.12,1512.00,775.12,,0,26.61,78.92,1,knuckle
216573.2271,0,1512.00,775.12,1512.00,775.12,,0,34.40,86.79,1,knuckle
216573.2604,0,1512.00,775.12,1512.00,775.12,,0,31.88,85.61,1,knuckle
216573.2938,0,1512.00,775.12,1512.00,775.12,,0,37.28,89.78,1,knuckle
216573.3271,0,1512.00,775.12,1512.00,775.12,,0,27.08,85.12,1,knuckle
216573.3605,0,1512.00,775.12,1512.00,775.12,,0,30.95,89.36,1,knuckle
216573.3938,0,1512.00,775.12,1512.00,775.12,,0,22.84,78.97,1,knuckle
216573.4272,0,1512.00,775.12,1512.00,775.12,,0,27.82,83.20,1,knuckle
216573.4605,0,1512.00,775.12,1512.00,775.12,,0,32.41,86.76,1,knuckle
216573.4939,0,1512.00,775.12,1512.00,775.12,,0,33.11,91.86,1,knuckle
216573.5272,0,1512.00,775.12,1512.00,775.12,,0,24.13,83.47,1,knuckle
216573.5606,0,1512.00,775.12,1512.00,775.12,,0,36.84,95.66,1,knuckle
216573.5939,0,1512.00,775.12,1512.00,775.12,,0,19.74,82.19,1,knuckle
216573.6273,0,1512.00,775.12,1512.00,775.12,,0,23.10,84.58,1,knuckle
216573.6606,0,1512.00,775.12,1512.00,775.12,,0,28.15,85.86,1,knuckle
216573.6940,0,1512.00,775.12,1512.00,775.12,,0,23.16,81.85,1,knuckle
216573.7273,0,1512.00,775.12,1512.00,775.12,,0,35.68,91.23,1,knuckle
216573.7607,0,1512.00,775.12,1512.00,775.12,,0,19.32,77.43,1,knuckle
216573.7940,0,1512.00,775.12,1512.00,775.12,,0,34.85,90.73,1,knuckle
