t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode
217829.2194,1,0.00,701.54,1117.26,982.00,0.157,0,24.08,164.87,1,palm,relative
217829.2528,1,0.00,790.16,1117.26,982.00,0.162,0,49.14,183.34,1,palm,relative
217829.2861,1,0.00,871.20,1117.26,982.00,0.144,0,27.87,178.25,1,palm,relative
217829.3195,1,0.00,944.96,1117.26,982.00,0.122,0,15.63,160.65,1,palm,relative
217829.3528,1,0.00,973.27,1117.26,982.00,0.140,0,21.95,155.91,1,palm,relative
217829.3862,1,0.00,982.00,1117.26,982.00,0.108,0,25.89,158.27,1,palm,relative
217829.4195,1,0.00,982.00,1117.26,982.00,0.135,0,22.20,157.18,1,palm,relative
217829.4529,1,0.00,982.00,1117.26,982.00,0.137,0,19.06,152.57,1,palm,relative
217829.4862,1,0.00,982.00,1117.26,982.00,0.147,0,25.94,163.82,1,palm,relative
217829.5196,1,0.00,982.00,1117.26,982.00,0.138,0,25.83,156.76,1,palm,relative
217829.5529,1,0.00,982.00,1117.26,982.00,0.160,0,53.27,184.81,1,palm,relative
217829.5863,1,0.00,982.00,1117.26,982.00,0.150,0,42.12,193.87,1,palm,relative
217829.6196,1,0.00,982.00,1117.26,982.00,0.132,0,55.30,216.31,1,palm,relative
217829.6530,1,0.00,982.00,1117.26,982.00,0.142,0,33.62,216.70,1,palm,relative
217829.7197,1,0.00,982.00,1117.26,982.00,0.119,0,32.35,182.47,1,palm,relative
217829.7530,1,0.00,982.00,1117.26,982.00,0.176,0,91.84,241.08,1,palm,relative
217829.7864,1,0.00,982.00,1117.26,982.00,0.150,0,26.61,234.57,1,palm,relative
217829.8864,1,0.00,982.00,1117.26,982.00,0.086,0,26.42,163.92,1,palm,relative
217829.9198,1,0.00,982.00,1117.26,982.00,0.154,0,23.30,154.01,1,palm,relative
217829.9531,1,0.00,982.00,1117.26,982.00,0.133,0,31.26,157.27,1,palm,relative
217829.9865,1,0.00,982.00,1117.26,982.00,0.174,0,32.68,157.33,1,palm,relative
217830.0198,1,0.00,982.00,1117.26,982.00,0.212,0,21.51,149.91,1,palm,relative
217830.0532,1,0.00,982.00,1117.26,982.00,0.120,0,30.54,160.69,1,palm,relative
217830.0865,1,0.00,982.00,1117.26,982.00,0.114,1,26.20,154.91,1,palm,relative
217830.1199,1,0.00,982.00,1117.26,982.00,0.103,1,20.46,150.94,1,palm,relative
217830.1532,1,0.00,982.00,1117.26,982.00,0.088,1,29.85,156.80,1,palm,relative
217830.1866,1,0.00,982.00,1117.26,982.00,0.112,1,30.63,161.91,1,palm,relative
217830.2199,1,0.00,982.00,1117.26,982.00,0.145,1,48.94,179.34,1,palm,relative
217830.2533,1,0.00,982.00,1117.26,982.00,0.215,0,35.06,181.29,1,palm,relative
217830.2866,1,0.00,982.00,1117.26,982.00,0.233,0,27.47,175.63,1,palm,relative
217830.3200,1,0.00,982.00,1117.26,982.00,0.161,0,34.76,177.26,1,palm,relative
