t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode,cam_x,cam_y,sensitivity
218106.9786,0,756.00,491.00,756.00,491.00,,0,10.67,153.82,1,palm,direct,-1.0000,-1.0000,high
218107.0119,0,756.00,491.00,756.00,491.00,,0,19.30,157.21,1,palm,direct,-1.0000,-1.0000,high
218107.0453,0,756.00,491.00,756.00,491.00,,0,9.92,151.52,1,palm,direct,-1.0000,-1.0000,high
218107.0786,0,756.00,491.00,756.00,491.00,,0,13.89,150.66,1,palm,direct,-1.0000,-1.0000,high
218107.1120,0,756.00,491.00,756.00,491.00,,0,29.24,170.18,1,palm,direct,-1.0000,-1.0000,high
218107.1453,0,756.00,491.00,756.00,491.00,,0,10.93,149.69,1,palm,direct,-1.0000,-1.0000,high
218107.1787,0,756.00,491.00,756.00,491.00,,0,14.06,155.25,1,palm,direct,-1.0000,-1.0000,high
218107.2120,0,756.00,491.00,756.00,491.00,,0,32.37,171.97,1,palm,direct,-1.0000,-1.0000,high
218107.2454,0,756.00,491.00,756.00,491.00,,0,8.30,147.83,1,palm,direct,-1.0000,-1.0000,high
218107.2787,0,756.00,491.00,756.00,491.00,,0,33.66,177.00,1,palm,direct,-1.0000,-1.0000,high
218107.3121,0,756.00,491.00,756.00,491.00,,0,11.91,155.85,1,palm,direct,-1.0000,-1.0000,high
218107.3454,0,756.00,491.00,756.00,491.00,,0,15.10,156.39,1,palm,direct,-1.0000,-1.0000,high
218107.3788,0,756.00,491.00,756.00,491.00,,0,11.89,152.95,1,palm,direct,-1.0000,-1.0000,high
218107.4121,0,756.00,491.00,756.00,491.00,,0,35.11,175.43,1,palm,direct,-1.0000,-1.0000,high
218107.4455,0,756.00,491.00,756.00,491.00,,0,28.94,171.33,1,palm,direct,-1.0000,-1.0000,high
218107.4788,0,756.00,491.00,756.00,491.00,,0,23.75,169.14,1,palm,direct,-1.0000,-1.0000,high
218107.5122,0,756.00,491.00,756.00,491.00,,0,12.63,149.34,1,palm,direct,-1.0000,-1.0000,high
218107.5455,0,756.00,491.00,756.00,491.00,,0,14.19,152.10,1,palm,direct,-1.0000,-1.0000,high
218107.5789,0,756.00,491.00,756.00,491.00,,0,38.50,187.83,1,palm,direct,-1.0000,-1.0000,high
218107.6122,0,756.00,491.00,756.00,491.00,,0,15.00,169.83,1,palm,direct,-1.0000,-1.0000,high
218107.6456,0,756.00,491.00,756.00,491.00,,0,11.77,148.36,1,palm,direct,-1.0000,-1.0000,high
218107.6789,0,756.00,491.00,756.00,491.00,,0,8.97,139.15,1,palm,direct,-1.0000,-1.0000,high
218107.7123,0,756.00,491.00,756.00,491.00,,0,15.25,147.56,1,palm,direct,-1.0000,-1.0000,high
218107.7456,0,756.00,491.00,756.00,491.00,,0,18.50,145.83,1,palm,direct,-1.0000,-1.0000,high
218107.7790,0,756.00,491.00,756.00,491.00,,0,15.90,146.47,1,palm,direct,-1.0000,-1.0000,high
218107.8123,0,756.00,491.00,756.00,491.00,,0,15.60,148.36,1,palm,direct,-1.0000,-1.0000,high
218107.8457,0,756.00,491.00,756.00,491.00,,0,18.34,147.24,1,palm,direct,-1.0000,-1.0000,high
218107.8790,0,756.00,491.00,756.00,491.00,,0,26.39,154.36,1,palm,direct,-1.0000,-1.0000,high
218107.9124,0,756.00,491.00,756.00,491.00,,0,43.85,174.53,1,palm,direct,-1.0000,-1.0000,high
218107.9457,0,756.00,491.00,756.00,491.00,,0,14.45,155.85,1,palm,direct,-1.0000,-1.0000,high
218107.9791,0,756.00,491.00,756.00,491.00,,0,12.57,140.42,1,palm,direct,-1.0000,-1.0000,high
218108.0124,0,756.00,491.00,756.00,491.00,,0,20.81,148.65,1,palm,direct,-1.0000,-1.0000,high
218108.0458,0,756.00,491.00,756.00,491.00,,0,26.18,156.38,1,palm,direct,-1.0000,-1.0000,high
218108.0791,0,756.00,491.00,756.00,491.00,,0,14.12,143.60,1,palm,direct,-1.0000,-1.0000,high
218108.1125,0,756.00,491.00,756.00,491.00,,0,11.87,144.19,1,palm,direct,-1.0000,-1.0000,high
218108.1458,0,756.00,491.00,756.00,491.00,,0,15.50,146.41,1,palm,direct,-1.0000,-1.0000,high
218108.1792,0,756.00,491.00,756.00,491.00,,0,24.81,156.70,1,palm,direct,-1.0000,-1.0000,high
218108.2125,0,756.00,491.00,756.00,491.00,,0,10.95,143.20,1,palm,direct,-1.0000,-1.0000,high
218108.2459,0,756.00,491.00,756.00,491.00,,0,10.23,141.25,1,palm,direct,-1.0000,-1.0000,high
218108.2792,0,756.00,491.00,756.00,491.00,,0,20.07,155.43,1,palm,direct,-1.0000,-1.0000,high
218108.3126,0,756.00,491.00,756.00,491.00,,0,16.95,148.34,1,palm,direct,-1.0000,-1.0000,high
218108.3459,0,756.00,491.00,756.00,491.00,,0,15.22,147.09,1,palm,direct,-1.0000,-1.0000,high
218108.3793,0,756.00,491.00,756.00,491.00,,0,20.36,149.77,1,palm,direct,-1.0000,-1.0000,high
218108.4126,0,756.00,491.00,756.00,491.00,,0,10.36,142.66,1,palm,direct,-1.0000,-1.0000,high
218108.4460,0,756.00,491.00,756.00,491.00,,0,7.23,141.82,1,palm,direct,-1.0000,-1.0000,high
218108.4793,0,756.00,491.00,756.00,491.00,,0,18.91,148.19,1,palm,direct,-1.0000,-1.0000,high
218108.5127,0,756.00,491.00,756.00,491.00,,0,28.95,158.09,1,palm,direct,-1.0000,-1.0000,high
